Account_Number |Reading_Date |Days_in_Read_Period |Meter_Reading |HGAL |Customer_GPD |Average_Households_GPD |Most_Efficient_GPD |WaterScore |Meter_Class |Meter
acct_no        |2024-06-22   |                 30 |              |  49 |         163 |                   250 |               150 |average    |SFR         |meter_no
acct_no        |2024-05-23   |                 30 |              |  45 |         150 |                   216 |               136 |average    |SFR         |meter_no
acct_no        |2024-04-23   |                 32 |              |  45 |         140 |                   209 |               134 |average    |SFR         |meter_no
acct_no        |2024-03-22   |                 30 |              |  35 |         116 |                   193 |               126 |efficient  |SFR         |meter_no
acct_no        |2024-02-21   |                 29 |              |  31 |         106 |                   168 |               120 |efficient  |SFR         |meter_no
acct_no        |2024-01-23   |                 34 |              | 111 |         326 |                   176 |               123 |high       |SFR         |meter_no
acct_no        |2023-12-20   |                 29 |              |  51 |         175 |                   196 |               131 |average    |SFR         |meter_no
acct_no        |2023-11-21   |                 28 |              |  37 |         132 |                   241 |               150 |efficient  |SFR         |meter_no
acct_no        |2023-10-24   |                 34 |              |  43 |         126 |                   379 |               215 |efficient  |SFR         |meter_no
acct_no        |2023-09-20   |                 29 |              | 178 |         613 |                   473 |               271 |high       |SFR         |meter_no
acct_no        |2023-08-22   |                 28 |              | 100 |         357 |                   467 |               246 |average    |SFR         |meter_no
acct_no        |2023-07-25   |                 33 |              |  60 |         181 |                   375 |               200 |efficient  |SFR         |meter_no
acct_no        |2023-06-22   |                 29 |              |  52 |         179 |                   327 |               175 |average    |SFR         |meter_no
acct_no        |2023-05-24   |                 29 |              |  43 |         148 |                   279 |               165 |efficient  |SFR         |meter_no
acct_no        |2023-04-25   |                 34 |              |  60 |         176 |                   235 |               144 |average    |SFR         |meter_no
acct_no        |2023-03-22   |                 29 |              |  34 |         117 |                   175 |               125 |efficient  |SFR         |meter_no
acct_no        |2023-02-21   |                 29 |              |  59 |         203 |                   180 |               125 |high       |SFR         |meter_no
acct_no        |2023-01-23   |                 34 |              |  73 |         214 |                   179 |               123 |high       |SFR         |meter_no
acct_no        |2022-12-20   |                 29 |              |  46 |         158 |                   172 |               124 |average    |SFR         |meter_no
